Item,Price
"Samsung Fast Charger + FREE Black Earpiece And Charger Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71,LG G7 G8 V40 V50 G9 V60 Thinq,G6,V30 V20,3A USB Type C Data Cable,","₦ 3,280"
Samsung Original Samsung Charger TYPE C Super Fast  Charger-white,"₦ 2,999"
5V 3A Charger Head Digital Display High Compatibility-White,"₦ 2,527"
Type Z FOR Charger 20W USB Type C To IPhone 12 /11/X /Pro Max Fast Charger,"₦ 6,500"
Oraimo Ultra Fast Best Quality Charger,"₦ 3,790"
Original Samsung Charger TYPE C Super Fast  Charger-white,"₦ 2,900"
Smart Powerbank 20000MAH Solar PowerBank With Dual USB And LED Light,"₦ 12,000"
Charging Cable Type-C 5A Fast Charging TPE Silicone-Blue,₦ 689
Type Z 20W Fast Type -C Iphone Charger Head AND CORD TYPE C Adapter,"₦ 4,800"
Oraimo Charger Kit Oraimo OCW-U65S Fast Charger With Usb Cable,"₦ 4,500"
Type-C OTG Adapter Connector Fast Charging Aluminum-Black,₦ 449
2pin Fast Type Charger Head Adapter,"₦ 1,390"
Samsung Fast Samsung Charger + Free Earpiece And Type C USB Cable,"₦ 4,000"
"Samsung Fast Charger + FREE Earpiece And Charger Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71,LG G7 G8 V40 V50 G9 V60 Thinq,G6,V30 V20,3A USB Type C Data Cable","₦ 2,850"
"Phone Charger Plus  Earpiece Compatible With IPhone 7, 8","₦ 3,450"
Portable 36W 3 USB Ports QC3.0 Fast Charging Quick Charger-,"₦ 2,039"
QI Wireless Charger Pad  Station For IPhone White +Black,"₦ 1,040"
5V 3A Charger Head Digital Display High Compatibility-Black,"₦ 3,006"
Oraimo Charger Kit Oraimo OCW-U65S+L53,"₦ 4,000"
Type Z Super Charger 20W USB Type C To IPhone 12 /11/X /Pro Max Fast Charger,"₦ 6,600"
Motorcycle Mobile Phone Charger USB12v Universal Waterproof,"₦ 2,999"
20W IPhone 12 /11/X /Pro Max Fast Charger (Type C To IPhone),"₦ 4,750"
Kuulaa 15w Wireless Charger For Samsung IPhone  And Huawei,"₦ 12,500"
Ldnio Phone/Macbook12 65W Fast Charging Charger Pd +QC3.0 Charger EU/UK/US Laptop Adapters,"₦ 14,400"
"Samsung Fast Charger + FREE Earpiece And Charger Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71,LG G7 G8 V40 V50 G9 V60 Thinq,G6,V30 V20,3A USB Type C Data Cable-White","₦ 4,500"
Oraimo 2.0A Fast Charging UK Type Charging Kit + Fast Charge Cable,"₦ 4,499"
TYPE A1 Iphone Fast Data Type-C To Lightning  Charger Cable For Iphone 11/12,"₦ 2,970"
Portable 3-in-1 LED Light USB Cable Splitter Hub-Silver,₦ 915
"New Brand TYPE A1 USB-C Type-C To Type C Cable For Samsung, MacBook","₦ 2,500"
Type Z 20W Fast Charger Type-C To Type C Charger With Type C Adapter,"₦ 6,500"
"Samsung Fast Charger And Charger Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71,LG G7 G8 V40 V50 G9 V60 Thinq,G6,V30 V20,3A USB Type C Data Cable-White","₦ 2,999"
Samsung Fast Charger And Earpiece Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71 USB Type C Data Cable(black),"₦ 3,499"
Samsung Original Samsung TYPEC To TYPE C 25watt Super Fast Charger,"₦ 4,999"
